,num bidders,avg rev,avg highest bid
0,20.0,39.66970195446446,241.89331545591762
1,21.0,46.923313846083154,228.4776689447829
2,22.0,43.989543582956436,228.79603762312937
3,23.0,46.99556134560611,291.397193882364
4,24.0,51.32208731134274,336.3145374666326
5,25.0,44.12466152292907,337.8246876256387
6,26.0,44.86875233626406,270.8708519346213
7,27.0,58.26263669256592,292.1912155115409
8,28.0,52.68925672602762,183.53160931954218
9,29.0,61.10385529339848,279.4966692103814
10,30.0,54.50751071381495,241.5952190004767
11,31.0,50.8897378036497,479.90796633575115
12,32.0,64.01287421679072,193.41447873738068
13,33.0,66.1087663311809,637.6100550258273
14,34.0,55.60880587907118,212.72882575619965
15,35.0,56.50315266891919,245.85180379370826
16,36.0,85.23417785931572,1145.0211961845303
17,37.0,75.24903090663818,369.51223361525257
18,38.0,93.98926897626647,979.8260482532802
19,39.0,86.16105287955016,1205.8277458472921
20,40.0,84.32837674808168,1056.2951346563152
21,41.0,71.86569302147568,429.2091093575688
22,42.0,70.4572128771254,235.50579399575022
23,43.0,87.94780547453911,534.6196125784958
24,44.0,111.12961950636605,611.9871319578888
25,45.0,73.02773989722418,956.8069626704985
26,46.0,92.82491248592535,1277.723027357792
27,47.0,100.94982287554232,1291.0005262296522
28,48.0,95.56534101827718,350.42815306204915
29,49.0,155.3414864939636,826.144310030857
30,50.0,110.51529608730347,858.038811902009
