,num bidders,avg adj rev
0,100.0,9.089970607986942
1,110.0,7.511375816589503
2,120.0,8.355230975057745
3,130.0,8.626747365738352
4,140.0,8.544903103731848
5,150.0,9.124108092673126
6,160.0,8.862111006731606
7,170.0,9.915588448736601
8,180.0,10.31030519756138
9,190.0,10.503106600213805
10,200.0,10.734608901259111
11,210.0,10.457278347543339
12,220.0,11.88866026224482
13,230.0,10.608286803809264
14,240.0,10.894878483398898
15,250.0,11.440704176564648
16,260.0,11.79485244314741
17,270.0,11.567880939265866
18,280.0,11.908701709415242
19,290.0,12.664000067611534
20,300.0,13.108594311435976
21,310.0,12.685726022352185
22,320.0,12.42434362987556
23,330.0,13.802562661048924
24,340.0,13.635446437117437
25,350.0,14.308563786630431
26,360.0,13.445706397575163
27,370.0,14.257640246801493
28,380.0,13.32385751675773
29,390.0,15.073500520647917
30,400.0,14.376262662640551
31,410.0,14.363664764532507
32,420.0,14.279159569114386
33,430.0,16.393673311763227
34,440.0,16.12748088721764
35,450.0,14.943771833579707
36,460.0,14.508252642948369
37,470.0,16.281201717352324
38,480.0,14.919510318412465
39,490.0,15.525533019494473
40,500.0,17.664710509886064
